부류코드,품목코드,품목명,,,,,
100,111,쌀,,,,,
100,112,찹쌀,,,,,
100,141,콩,,,,,
100,142,팥,,,,,
100,143,녹두,,,,,
100,144,메밀,,,,,
100,151,고구마,,,,,
100,152,감자,,,,,
100,161,귀리,,,,,
100,113,혼합곡,,,,,
100,162,보리,,,,,
100,163,수수,,,,,
100,164,율무,,,,,
100,114,기장,,,,,
200,211,배추,,,,,
200,212,양배추,,,,,
200,279,알배기배추,,,,,
200,280,브로콜리,,,,,
200,213,시금치,,,,,
200,214,상추,,,,,
200,215,얼갈이배추,,,,,
200,216,갓,,,,,
200,221,수박,,,,,
200,222,참외,,,,,
200,223,오이,,,,,
200,224,호박,,,,,
200,225,토마토,,,,,
200,226,딸기,,,,,
200,231,무,,,,,
200,232,당근,,,,,
200,233,열무,,,,,
200,241,건고추,,,,,
200,242,풋고추,,,,,
200,243,붉은고추,,,,,
200,244,피마늘,,,,,
200,258,깐마늘(국산),,,,,
200,259,깐마늘(수입),,,,,
200,245,양파,,,,,
200,246,파,,,,,
200,247,생강,,,,,
200,248,고춧가루,,,,,
200,251,가지,,,,,
200,252,미나리,,,,,
200,253,깻잎,,,,,
200,254,부추,,,,,
200,255,피망,,,,,
200,256,파프리카,,,,,
200,257,멜론,,,,,
200,261,브로콜리,,,,,
200,262,양상추,,,,,
200,263,청경채,,,,,
200,264,케일,,,,,
200,265,콩나물,,,,,
200,422,방울토마토,,,,,
200,217,연근,,,,,
200,218,우엉,,,,,
200,266,절임배추,,,,,
300,312,참깨,,,,,
300,313,들깨,,,,,
300,314,땅콩,,,,,
300,315,느타리버섯,,,,,
300,316,팽이버섯,,,,,
300,317,새송이버섯,,,,,
300,318,호두,,,,,
300,319,아몬드,,,,,
300,321,양송이버섯,,,,,
300,322,표고버섯,,,,,
400,411,사과,,,,,
400,412,배,,,,,
400,413,복숭아,,,,,
400,414,포도,,,,,
400,415,감귤,,,,,
400,416,단감,,,,,
400,418,바나나,,,,,
400,419,참다래,,,,,
400,420,파인애플,,,,,
400,421,오렌지,,,,,
400,423,자몽,,,,,
400,424,레몬,,,,,
400,425,체리,,,,,
400,426,건포도,,,,,
400,427,건블루베리,,,,,
400,428,망고,,,,,
400,430,아보카도,,,,,
400,429,블루베리,,,,,
600,611,고등어,,,,,
600,613,갈치,,,,,
600,614,조기,,,,,
600,649,수입조기,,,,,
600,615,명태,,,,,
600,619,물오징어,,,,,
600,638,건멸치,,,,,
600,639,북어,,,,,
600,640,건오징어,,,,,
600,641,김,,,,,
600,642,건미역,,,,,
600,644,굴,,,,,
600,650,새우젓,,,,,
600,651,멸치액젓,,,,,
600,652,굵은소금,,,,,
600,612,꽁치,,,,,
600,653,전복,,,,,
600,654,새우,,,,,
600,616,삼치,,,,,
